"","participant.code","...1","dis3_1","dis3_2","dis0_1","dis0_2","dis03_1","dis03_2","payoff1","seconds_on_page.InitializeParticipant","seconds_on_page.MyPage","seconds_on_page.Part1","seconds_on_page.CQ1","seconds_on_page.count1","seconds_on_page.count2","seconds_on_page.count3","seconds_on_page.count4","seconds_on_page.count5","seconds_on_page.count6","seconds_on_page.count7","seconds_on_page.count8","seconds_on_page.count9","seconds_on_page.count10","seconds_on_page.Result1","seconds_on_page.Part2","seconds_on_page.CQ2","seconds_on_page.Allocation","seconds_on_page.Result2WaitPage","seconds_on_page.Result2"
"57","dwudmdk9",25,2.5,2.5,2.5,2.5,2.5,2.5,3,NA,3558,155,22,47,39,22,28,16,21,12,29,14,14,267,223,28,67,97,114
"58","dzteufqo",82,2.5,2.5,2.5,2.5,4,1,0,NA,2032,179,31,44,19,20,15,13,16,34,16,20,14,307,175,21,161,0,NA
"59","edk6ngdx",24,2.5,2.5,2.5,2.5,4,1,3,NA,3663,3,53,48,14,14,12,13,20,11,16,13,16,428,3,93,55,273,8
"60","eu8kevpl",56,2.5,2.5,2.5,2.5,4,1,3,NA,2535,136,11,29,24,29,27,28,22,13,35,13,18,205,240,7,41,16,NA
"61","ew2dngm8",86,2,3,2.5,2.5,5,0,0,NA,1969,6,159,26,16,14,14,16,45,17,22,28,16,259,30,236,88,7,NA
"62","fbbnlpps",3,2.5,2.5,5,0,3.5,1.5,3,NA,1482,2,159,58,44,32,22,20,22,19,24,26,20,409,3,15,59,1,5
"63","fc701njh",52,2.5,2.5,2.5,2.5,4,1,3,NA,2749,147,18,24,21,23,13,11,18,9,20,8,10,283,232,7,14,100,118
"64","gqqm3zzb",65,2.5,2.5,2.5,2.5,2.5,2.5,3,NA,1638,128,29,20,15,13,13,15,15,14,16,16,12,264,225,18,207,NA,NA
"65","grhf2gdx",10,2.5,2.5,2.5,2.5,4,1,3,NA,1230,162,22,63,26,51,18,15,22,14,51,26,14,169,196,16,63,7,21
"66","hudejzzt",91,2.5,2.5,2.5,2.5,3,2,3,NA,1902,181,85,20,18,18,18,17,16,19,37,24,19,231,218,21,194,1,20
"67","iwm0w374",28,3,2,2.5,2.5,0,5,3,NA,3779,111,34,53,45,27,19,35,21,22,34,19,28,269,152,53,89,0,9
"68","j44naujj",97,2.5,2.5,2.5,2.5,4,1,2,NA,1185,152,14,43,35,19,16,16,16,15,16,16,17,NA,400,22,72,NA,NA
"69","ju1dbob6",4,2.5,2.5,2.5,2.5,2,3,3,NA,1437,137,25,35,28,23,26,30,18,23,29,26,19,237,1,205,63,1,24
"70","k1s96jek",51,2.5,2.5,2.5,2.5,0,5,3,NA,1192,153,17,22,14,13,27,15,23,12,29,20,27,309,209,18,40,32,44
"71","k1w7po3z",113,2.5,2.5,2.5,2.5,4,1,2,NA,2928,122,14,14,14,14,10,12,12,10,14,11,13,NA,279,12,52,NA,NA
"72","k3yu7muv",57,2.5,2.5,2.5,2.5,4,1,0,NA,2401,150,22,25,14,16,12,15,13,12,13,13,13,304,213,18,30,75,13
"73","khnch906",66,2.5,2.5,2.5,2.5,4,1,0,NA,1550,129,19,22,19,14,13,16,14,16,25,13,12,304,175,22,130,63,NA
"74","lprczyu8",93,2.5,2.5,2.5,2.5,4,1,3,NA,1810,179,15,18,17,14,14,14,15,15,17,14,25,306,241,15,71,0,NA
"75","lr9zr8wu",13,2.5,2.5,2.5,2.5,4,1,0,NA,975,285,24,41,23,13,14,16,16,14,14,12,19,266,227,26,60,0,23
"76","lzgp7upp",55,2.5,2.5,2.5,2.5,1,4,3,NA,2595,146,34,37,20,74,46,16,32,25,31,15,13,138,213,64,52,0,52
"77","mvroqpnu",106,2.5,2.5,2.5,2.5,4,1,2,NA,3343,122,12,24,11,11,10,11,14,8,12,11,17,NA,273,10,41,NA,NA
"78","nla9jn1g",43,2.5,2.5,2.5,2.5,4,1,0,NA,1350,152,27,20,17,16,18,15,17,12,16,17,15,337,208,30,38,57,14
"79","nmhjqwz1",58,2.5,2.5,2.5,2.5,4,1,3,NA,2360,152,23,40,19,14,13,14,17,15,20,13,15,267,219,43,62,28,43
"80","o720uu61",76,2.5,2.5,2.5,2.5,4,1,0,NA,2139,172,21,20,17,18,23,19,14,25,17,16,16,277,242,19,84,0,228
"81","o9hcosrd",46,2.5,2.5,2.5,2.5,4,1,0,NA,1250,147,20,20,19,30,12,16,32,14,18,14,15,326,204,18,67,106,103
"82","pdqp7m6u",38,2.5,2.5,2.5,2.5,4,1,0,NA,1633,167,46,22,22,23,20,19,18,14,19,15,17,272,218,12,42,35,182
"83","poi5d48b",89,2.5,2.5,2.5,2.5,4,1,3,NA,1724,305,16,18,20,16,13,15,16,13,21,18,16,270,98,181,38,41,NA
"84","px0tf4tw",11,2.5,2.5,2.5,2.5,4,1,0,NA,1179,5,155,54,15,10,12,10,12,11,31,11,16,273,231,18,36,58,10
"85","pxacyxi9",74,2,3,2.5,2.5,2,3,0,NA,2164,181,31,27,22,18,18,19,19,21,26,24,19,216,46,32,230,61,77
"86","rbax1zq4",23,2.5,2.5,2.5,2.5,4,1,0,NA,3688,165,27,17,14,11,13,16,19,11,18,12,13,577,2,31,84,0,122
"87","rwcw996f",9,2.5,2.5,2.5,2.5,4,1,3,NA,1274,151,28,21,19,14,13,26,15,14,24,13,15,271,230,20,55,0,108
